model,dataset,rho_mean,rho_std,r2_val,n_folds
xgb,nyc-taxi-green-dec-2016,0.6382949471674391,0.06489742774197597,0.513105555226453,5
chebypoly,particulate-matter-ukair-2017,0.40123551337829466,0.013343663014158194,0.7502835022495977,5
chebytree,particulate-matter-ukair-2017,0.395011101329127,0.02305595213348956,0.7461736462005217,5
dt,particulate-matter-ukair-2017,0.4169196090078704,0.009434206479350584,0.7177536573960653,5
erbf,particulate-matter-ukair-2017,0.39077600655835304,0.007121656190218711,0.7400124678518339,5
rf,particulate-matter-ukair-2017,0.3667036828463784,0.011681618273974211,0.725998954262686,5
ridge,particulate-matter-ukair-2017,0.465763723828206,0.005418293409548634,0.7334499410319126,5
xgb,particulate-matter-ukair-2017,0.4579252170378589,0.01561515353006262,0.7414293181023063,5
chebypoly,physiochemical_protein,0.5244833061710406,0.05397519085404776,0.4042651171972951,5
chebytree,physiochemical_protein,0.7363527169131199,0.10396323272815121,0.5053738610802384,5
dt,physiochemical_protein,0.491642125563352,0.05412273582420469,0.3595717578786333,5
erbf,physiochemical_protein,0.7259559650770837,0.09100421285276397,0.5056158879007416,5
rf,physiochemical_protein,0.4407107259394876,0.04642930538074867,0.42420851547319954,5
ridge,physiochemical_protein,0.2235159767189146,0.005058326394439859,0.28137770964321396,5
xgb,physiochemical_protein,0.9618762897860871,0.24269615716846268,0.6147221201623445,5
chebypoly,pmlb_1028_SWD,0.44306816423470635,0.08376332658228093,0.41604944023762525,5
chebytree,pmlb_1028_SWD,0.4437062997331055,0.06401733225470739,0.4195995591378316,5
dt,pmlb_1028_SWD,0.4346593654118953,0.06007047754638523,0.3707131472077933,5
erbf,pmlb_1028_SWD,0.40630822223784985,0.06454812412939856,0.41270315273220676,5
rf,pmlb_1028_SWD,0.3907487789396021,0.07701019283996155,0.41648832170022876,5
ridge,pmlb_1028_SWD,0.3861981606964022,0.03707656071727007,0.39612240320880066,5
xgb,pmlb_1028_SWD,0.4911084871487998,0.08827582484964462,0.394313483226648,5
chebypoly,pmlb_1029_LEV,0.5010722417670483,0.030687150801447165,0.5536953582816905,5
chebytree,pmlb_1029_LEV,0.5087022111509583,0.03611992445568235,0.5401903433594031,5
dt,pmlb_1029_LEV,0.5102090740624844,0.03588710521775033,0.48055660409530965,5
erbf,pmlb_1029_LEV,0.4770257594816193,0.03509239844157731,0.5498981293874472,5
