model,dataset,d_effective,r2_val,lip_tail_ratio,lip_tail_ratio_q90,lip_q50,lip_q75,lip_q90,lip_q95,lip_q99,lip_mean,lip_std,violation_prob,per_point_max_q95,tau,n_anchors,median_perturbation_dist,n_probes,n_folds
chebypoly,Ailerons,30,0.8445341445060096,0.42369827632651963,0.24282660175642284,4.5917412990198674e-05,8.515184126135119e-05,0.00013040641749725837,0.00016109939038548923,0.0002297852267284021,5.9806191954738715e-05,5.162606033992102e-05,0.0017421602787456446,0.0002954453678513625,0.00011238851677068773,287,0.2676281236804453,8610,5
chebytree,Ailerons,30,0.8422543683644893,0.544282443022692,0.34825975943294446,4.083115135491604e-05,7.672592084348638e-05,0.00012207684429145678,0.00015645858227678316,0.0002758729466202657,5.7519483699871534e-05,6.716512196920694e-05,0.006039488966318235,0.0004952861364239345,0.00011220191627093511,287,0.2676281236804453,8610,5
dt,Ailerons,30,0.7584991740387779,2.0043213737826426,2.0043213737826426,0.0,0.0,0.0,0.00031024995844428896,0.0008926161046094406,3.906706445880994e-05,0.00017302554152765778,0.042578397212543556,0.0013070982398883323,0.00010802818776462597,287,0.2676281236804453,8610,5
erbf,Ailerons,30,0.8177027523984816,0.3544586293206162,0.19285565488104697,4.060195247619978e-05,7.200732882431613e-05,0.00010520643958353854,0.00012552619991020633,0.00016496266186683575,4.9539034456460296e-05,3.879903789018445e-05,0.0006968641114982578,0.00019317506860633342,0.00010976436882196397,287,0.2676281236804453,8610,5
rf,Ailerons,30,0.806628643927862,1.0145541042979374,0.5981169209551329,8.299474449187077e-06,3.12047754738538e-05,8.704232685261158e-05,0.00015232642204558654,0.0003553221963087115,3.341153566895818e-05,7.601635863846915e-05,0.011382113821138212,0.0005930201730503637,0.00010417889754938047,287,0.2676281236804453,8610,5
ridge,Ailerons,30,0.8182633513267016,0.35242680374928287,0.19377140201671683,4.357686574658836e-05,7.732761851471057e-05,0.00011220239012614257,0.00013482535619590636,0.00017628840120251986,5.313095700469808e-05,4.150041235909204e-05,0.0007200929152148664,0.00020550769965924824,0.00011063171543365326,287,0.2677794398837018,8610,5
xgb,Ailerons,30,0.8265968668385397,0.5156566758869707,0.3041490937345688,9.866618439225829e-05,0.00020203962657497555,0.00033301424872806334,0.000437209001819089,0.0006771129064887965,0.00014088884742582074,0.0001502251947325181,0.05967479674796748,0.000837062878004597,0.00010764608305180445,287,0.2676281236804453,8610,5
chebypoly,Allstate_Claims_Severity,50,0.46752368149835694,0.21189927341573692,0.1288813525343436,7913.269170471727,9987.671747355293,12075.657022902922,13430.615625935921,16219.409254679558,8129.716171273611,3015.007735074373,0.9882229518904084,18512.460899950005,593.497043901754,706,0.4844635940618837,21192,5
chebytree,Allstate_Claims_Severity,50,0.5000218899565912,0.2918083951232449,0.17745917220361807,2328.5568825417367,3218.7563799115264,4116.850711698115,4724.116983661862,6053.722568793584,2456.7753549480003,1261.2871071412833,0.6642513646751158,6930.1036467087715,617.494182857908,706,0.4844635940618837,21192,5
dt,Allstate_Claims_Severity,50,0.3993645654874385,2.0043213737826426,2.0043213737826426,0.0,0.0,0.0,47.02760358132228,2079.183435187145,66.74994585405572,441.89780014663313,0.018427430113100086,3079.340675677685,555.2248984226017,706,0.4844635940618837,21192,5
