model,dataset,d_effective,r2_val,lip_tail_ratio,lip_tail_ratio_q90,lip_q50,lip_q75,lip_q90,lip_q95,lip_q99,lip_mean,lip_std,violation_prob,per_point_max_q95,per_point_max_q95_norm,tau,n_anchors,median_perturbation_dist,n_probes,n_folds
tabpfn,Ailerons,30,0.8691960285421365,0.4134439612244815,0.2437030733386037,8.651017023912305e-05,0.0001539011083977756,0.0002293442783322228,0.00028053618991600747,0.0004049585247478408,0.00010820348889321844,8.961835074184096e-05,0.011445086705202312,0.00047872413619403747,1.2684085063301223,0.00011415483,173,0.28035449661785555,5190,5
tabpfn,Allstate_Claims_Severity,50,0.5390792282678115,0.3970274462103327,0.23398508677474653,3283.5851719539814,5531.709004277279,8139.505282892291,9943.937782464145,14136.374306660993,3965.303011551009,3114.010592330528,0.8073809523809524,16519.80554269076,7.980076747684853,637.34753,224,0.506555987415269,6720,5
tabpfn,Bike_Sharing_Demand,6,0.7176785518677715,0.5710601513814142,0.33818773917174294,126.87703050911395,272.0975483580429,472.68398309063014,634.5743252265002,1043.5045546661881,198.43870685336233,219.27230062215023,0.0354,1369.22352825138,8.852924796619508,46.58344,100,0.06742545731839408,3000,5
tabpfn,Brazilian_houses,8,0.9958371009736492,0.6748431326048141,0.44699194034819073,0.10686563170660783,0.2126245099143535,0.3673015264778447,0.5177271272639921,1.072794071859006,0.17120028994979972,0.26114619816378043,0.003133333333333333,1.5527049963548156,1.9575913451250444,0.2372499,100,0.10652594212949947,3000,5
tabpfn,MiamiHousing2016,13,0.9437440358273831,0.6087923741601836,0.4062838831802679,0.08270311766105473,0.14950580662741908,0.24199710099791033,0.3261439165597457,0.6304934947692011,0.11604685113581667,0.13483247296348683,0.0012280701754385965,0.7372598221893952,1.3367638048402095,0.16398378,114,0.127977129249897,3420,5
tabpfn,abalone,7,0.5869880393131437,0.6040522958693727,0.33416185669126885,1.3701240735034783,3.289246462146842,6.243785796806895,8.655974698666753,13.670472699395393,2.4733298141916387,2.96713768849364,0.004533333333333333,17.044425649260155,6.700677073464377,0.7642117,100,0.03686559905971758,3000,5
tabpfn,airfoil_noise,5,0.9767852030976713,0.6314589600204512,0.37706835522812604,8.49103350634449,16.893258826611195,30.9715388371966,43.57560838813133,75.68231671082911,13.398220656540193,15.794095350236569,0.0770707124597088,100.03306936006922,14.841766006142823,2.0291963,100,0.07116207252286999,2999,5
tabpfn,analcatdata_supreme,5,0.977156645669953,1.2815602356116744,0.9835667029073811,1.8800792664593533,3.488824896862378,7.764687688401365,16.585340153448566,83.27364061836522,6.933816637388761,49.18192478521373,0.7220705879582969,405.6657311429997,755.7147506113755,0.16144757,100,0.11906626413652555,2996,5
tabpfn,california_housing,8,0.8745917125331951,0.7916980392597261,0.47673375925138595,0.5234200412560532,1.3072083146537825,2.7951018041245557,4.306459922945982,8.629094658777152,1.127420995099008,1.7728887751134312,0.03593333333333333,10.785986370229597,9.984950707524376,0.32596526,100,0.06457271067495589,3000,5
tabpfn,concrete_strength,8,0.9459952342899438,0.503058667912672,0.3098350579304232,18.875762115350064,33.351711023906844,52.58827306359691,67.02150566772806,108.71142081848686,24.528045890960648,22.822873824188235,0.1738,139.882740197492,8.64658484879168,4.8680086,100,0.12652307015908953,3000,5
tabpfn,cpu_act,21,0.9883417015768821,0.6547914811871879,0.4231665830499379,1.020455269622488,1.9533734161187701,3.3924915626369034,4.765018636118482,9.190057108733395,1.552638850245037,1.9567263747165196,0.0002758620689655172,11.794026994655347,0.6507721205494167,5.4741635,145,0.22887365871672868,4350,5
