model,dataset,fold,train_r2,train_r2_adj,test_r2,test_r2_adj,gap,test_mae,test_rmse,train_mae,train_rmse,tune_time,train_time,predict_time,n_pruned,n_samples_original,n_samples_final,n_features_original,n_features_final,subsampling_applied,prefilter_applied,dim_reduction_applied,hp_complexity,hp_alpha,hp_include_interactions,hp_max_interaction_complexity,mi_n_features,mi_complexity,mi_regressor,mi_alpha,mi_include_interactions,mi_n_params,hp_max_depth,hp_min_samples_leaf,mi_max_depth,mi_n_leaves,mi_n_params_per_leaf,hp_min_samples_split,mi_max_depth_actual,hp_n_rbf_auto,hp_center_init,hp_width_init,mi_n_rbf_auto,mi_center_init,mi_width_init,mi_n_rbf,mi_n_width_params,hp_n_rbf,hp_n_estimators,hp_max_features,mi_n_estimators,mi_n_leaves_total,hp_learning_rate,hp_subsample,hp_colsample_bytree,hp_reg_lambda,hp_min_child_weight,mi_best_iteration
chebypoly,Ailerons,0,0.8449015944034419,0.8444774033041715,0.8489710906779804,0.8485580295712559,-0.004069496274538453,0.00011589216147907047,0.00015515577965135417,0.00011888265277819789,0.00016142637417687673,7.8294782638549805,0.04109477996826172,0.035768985748291016,14,13750,13750,33,30,False,True,False,1.0,0.760037782530153,True,2.0,30,1.0,Ridge,0.760037782530153,True,132,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Ailerons,1,0.8499820551442095,0.8495717590054847,0.8422336858384187,0.8418021980615159,0.007748369305790814,0.0001189105553493748,0.00016299822327829692,0.00011672304550786377,0.00015769379217435878,6.812613248825073,0.0401608943939209,0.02565622329711914,15,13750,13750,33,30,False,True,False,3.0,1.8492061768324706,True,1.0,30,3.0,Ridge,1.8492061768324706,True,192,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Ailerons,2,0.8513946407831807,0.8509882080384907,0.834705700185639,0.8342536235155296,0.016688940597541668,0.00012033621886461367,0.00016277203827082612,0.00011630173729080112,0.00015790615614352777,7.077019929885864,0.04264545440673828,0.02611851692199707,11,13750,13750,33,30,False,True,False,3.0,1.7726069314623847,True,1.0,30,3.0,Ridge,1.7726069314623847,True,192,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Ailerons,3,0.8448172654746746,0.844392843737437,0.8492957003636088,0.848883527058012,-0.00447843488893418,0.00011931667984018298,0.00016332647569019203,0.00011797943095730796,0.00015933170986953964,6.280994176864624,0.030781984329223633,0.021389007568359375,21,13750,13750,33,30,False,True,False,1.0,0.18731742164078954,True,1.0,30,1.0,Ridge,0.18731742164078954,True,132,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Ailerons,4,0.8486600007092849,0.8482460887775937,0.8474645454644014,0.8470473639860472,0.0011954552448835143,0.00011744257084455543,0.00015925342132761517,0.00011699663344000416,0.00015864028815968094,6.500913381576538,0.042352914810180664,0.02735590934753418,15,13750,13750,33,30,False,True,False,3.0,1.4306663923962386,True,1.0,30,3.0,Ridge,1.4306663923962386,True,192,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Allstate_Claims_Severity,0,0.48857470345674603,0.48793460571144165,0.4752922537218406,0.47463553171843853,0.013282449734905444,1314.1196822129004,2053.0863372567496,1326.8288023922557,2061.731298408705,151.0317051410675,1.0851240158081055,0.572486162185669,9,188318,50000,130,50,True,True,True,14.0,150.62397337547418,True,2.0,50,14.0,Ridge,150.62397337547418,True,902,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Allstate_Claims_Severity,1,0.49445935118002327,0.49382661863500343,0.4506950266863885,0.4500075188973154,0.043764324493634765,1356.4787094123528,2064.9512647405945,1315.5076971296517,2058.1648714646562,125.34448003768921,1.337400197982788,0.6991815567016602,1,188318,50000,130,50,True,True,True,14.0,132.14808760191502,True,1.0,50,14.0,Ridge,132.14808760191502,True,802,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Allstate_Claims_Severity,2,0.4798959728254496,0.4792450128174712,0.4677313112923679,0.4670651260452934,0.012164661533081711,1329.5200934409563,2126.527116394111,1322.8784444855887,2064.6203536361922,166.52021288871765,0.6346967220306396,0.3477470874786377,0,188318,50000,130,50,True,True,True,7.0,175.05685060386762,True,1.0,50,7.0,Ridge,175.05685060386762,True,452,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Allstate_Claims_Severity,3,0.48858949556248576,0.4879494163309186,0.46819262621291613,0.46752701834565147,0.020396869349569635,1335.5985565640121,2142.3415796923823,1316.3558380432244,2043.1119220356352,159.0096287727356,1.5042078495025635,0.6861276626586914,1,188318,50000,130,50,True,True,True,14.0,206.30507446158649,True,1.0,50,14.0,Ridge,206.30507446158649,True,802,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Allstate_Claims_Severity,4,0.4925425821525016,0.4919074505874468,0.4757071895782715,0.47505098690683834,0.016835392574230057,1341.245521069121,2093.1544126125045,1316.4869254585915,2043.7110213704952,137.82997155189514,1.1514620780944824,0.5622220039367676,17,188318,50000,130,50,True,True,True,14.0,66.88145620389794,True,1.0,50,14.0,Ridge,66.88145620389794,True,802,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Bike_Sharing_Demand,0,0.6492155950558469,0.6490641337411043,0.64988802976577,0.6497368587941663,-0.0006724347099230643,74.95678716876864,105.29216281986132,76.729349618861,107.91995853877039,2.181701898574829,0.022595643997192383,0.013053178787231445,10,17379,17379,6,6,False,False,False,14.0,1.7490973241556145,True,2.0,6,14.0,Ridge,1.7490973241556145,True,116,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Bike_Sharing_Demand,1,0.6423352989943434,0.6421808669127347,0.6399598148572957,0.63980435709169,0.00237548413704769,77.11406053442771,107.77355004791873,77.62221708747416,108.73758139273923,2.666396379470825,0.019634723663330078,0.015381574630737305,9,17379,17379,6,6,False,False,False,14.0,1.9106652272195037,True,1.0,6,14.0,Ridge,1.9106652272195037,True,101,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Bike_Sharing_Demand,2,0.6539683609163727,0.6538189517457839,0.628525829714437,0.6283654349949701,0.025442531201935625,77.48198551890482,109.01410284617715,75.83083925040803,107.0644938656675,2.0414183139801025,0.01834392547607422,0.01244664192199707,16,17379,17379,6,6,False,False,False,13.0,2.3921842445709256,True,2.0,6,13.0,Ridge,2.3921842445709256,True,110,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Bike_Sharing_Demand,3,0.6476013382748944,0.6474491799580874,0.6548880499533732,0.6547390378851321,-0.00728671167847883,76.87872432902239,109.0816217420554,75.7133633174734,107.01106569240653,2.0690178871154785,0.021854162216186523,0.014466524124145508,16,17379,17379,6,6,False,False,False,13.0,2.484522555126718,True,2.0,6,13.0,Ridge,2.484522555126718,True,110,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Bike_Sharing_Demand,4,0.6502474833423137,0.6500964784419794,0.6476356275848537,0.6474834950213875,0.0026118557574600354,77.5307253384084,109.53264670433651,75.66462478409126,106.79962348598927,1.9926402568817139,0.020701885223388672,0.014595508575439453,15,17379,17379,6,6,False,False,False,14.0,0.5669877875023526,True,2.0,6,14.0,Ridge,0.5669877875023526,True,116,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Brazilian_houses,0,0.9860418988201202,0.986028829436993,0.9741892607784248,0.9741650934196031,0.01185263804169534,0.0651147018680527,0.1255270502812217,0.06268756260160156,0.09479889643910655,2.7609400749206543,0.018659591674804688,0.013599872589111328,4,10692,10692,8,8,False,False,False,10.0,0.02505636616682069,True,1.0,8,10.0,Ridge,0.02505636616682069,True,110,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Brazilian_houses,1,0.9928351730334927,0.992828464394011,0.9367696859380925,0.9367104815241769,0.05606548709540016,0.04996456068824351,0.19995569341507757,0.04409965294001143,0.0676370006505798,2.8416748046875,0.01957225799560547,0.015214681625366211,8,10692,10692,8,8,False,False,False,9.0,0.01559318793895097,True,2.0,8,9.0,Ridge,0.01559318793895097,True,130,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Brazilian_houses,2,0.9936184366180131,0.9936124620706689,0.9807406846535273,0.9807226536970882,0.012877751964485817,0.04241403336234864,0.11194735831529457,0.041096845331612876,0.06360326511349117,2.8282086849212646,0.025354623794555664,0.01716327667236328,6,10692,10692,8,8,False,False,False,11.0,0.01629055844762455,True,2.0,8,11.0,Ridge,0.01629055844762455,True,146,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Brazilian_houses,3,0.9905377640849138,0.9905289053502946,0.9791893142504983,0.9791698308700423,0.01134844983441552,0.053831604626269416,0.1120143025489004,0.051742099988505076,0.07817244258329586,2.6925432682037354,0.023197412490844727,0.015574455261230469,14,10692,10692,8,8,False,False,False,11.0,0.08100066068879877,True,2.0,8,11.0,Ridge,0.08100066068879877,True,146,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,Brazilian_houses,4,0.9938555580049556,0.9938498054553991,0.9574461396407502,0.9574062998651067,0.036409418364205415,0.05010076991723665,0.17126880139336548,0.041039346151284996,0.06193309329687644,2.842400312423706,0.02137899398803711,0.014480113983154297,10,10692,10692,8,8,False,False,False,9.0,0.20019129716336176,True,2.0,8,9.0,Ridge,0.20019129716336176,True,130,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,MiamiHousing2016,0,0.9192540194226844,0.9191597154295565,0.9087448523205947,0.9086382745719798,0.010509167102089711,0.11911260683895125,0.17139420508640385,0.11351844465613654,0.16136995457487033,5.339641332626343,0.07036828994750977,0.04052281379699707,14,13932,13932,13,13,False,False,False,13.0,0.0010576136498245893,True,2.0,13,13.0,Ridge,0.0010576136498245893,True,327,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,MiamiHousing2016,1,0.9185481189097249,0.9184529904887229,0.9064823194359668,0.9063730992538329,0.012065799473758076,0.11990589269209144,0.1747477300108978,0.11424795783746614,0.16178483329815097,6.562273025512695,0.13062214851379395,0.06020808219909668,11,13932,13932,13,13,False,False,False,14.0,0.09223613498337585,True,2.0,13,14.0,Ridge,0.09223613498337585,True,340,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,MiamiHousing2016,2,0.9168318840115466,0.9167347599091527,0.9125169495459465,0.9124147864435478,0.004314934465600051,0.12103677350884405,0.17327152630445777,0.11409269873542505,0.16241717400979003,7.684150695800781,0.08436727523803711,0.04370737075805664,7,13932,13932,13,13,False,False,False,14.0,0.11992167195616918,True,2.0,13,14.0,Ridge,0.11992167195616918,True,340,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,MiamiHousing2016,3,0.9173646534482687,0.917268151516435,0.9081271178483596,0.9080198282806295,0.00923753559990903,0.11805415222195062,0.1701765309431449,0.11528727489431038,0.16367130815269812,7.210087060928345,0.13080167770385742,0.06779193878173828,6,13932,13932,13,13,False,False,False,14.0,0.08065928429100827,True,2.0,13,14.0,Ridge,0.08065928429100827,True,340,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,MiamiHousing2016,4,0.9161603463534991,0.9160624380263876,0.9103718060628122,0.9102671378521418,0.005788540290686872,0.11694285958052748,0.1653457021687348,0.11650907137335773,0.16550635504749656,6.384422540664673,0.08197331428527832,0.04350638389587402,12,13932,13932,13,13,False,False,False,14.0,0.2789003320399078,True,2.0,13,14.0,Ridge,0.2789003320399078,True,340,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,abalone,0,0.5787958826369446,0.5779112655287714,0.5460334341000102,0.545080008969107,0.03276244853693444,1.5634831577270019,2.216818312250203,1.5045812841374957,2.081262130628347,1.7336597442626953,0.006626605987548828,0.005720376968383789,8,4177,4177,7,7,False,False,False,2.0,0.9355380606452179,True,2.0,7,2.0,Ridge,0.9355380606452179,True,58,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,abalone,1,0.5743449900142275,0.5734510250967656,0.520533958422692,0.519526979037441,0.05381103159153544,1.5414890156689542,2.073963722381241,1.5447854848939215,2.1376362833282285,1.6182491779327393,0.003132343292236328,0.002293109893798828,12,4177,4177,7,7,False,False,False,2.0,0.012175521489632335,False,,7,2.0,Ridge,0.012175521489632335,False,16,,,,,,,,,,,,,,,,,,,,,,,,,,
